stage,symbol,timeframe,nw_bandwidth,nw_mult,mkr_bandwidth,require_confirmation,require_trend_meter,require_mkr_alignment,total_candles,action_signals,filled_orders,rejected_orders,total_trades,winning_trades,losing_trades,win_rate,gross_profit,gross_loss,profit_factor,net_profit,max_drawdown,max_drawdown_pct,score,eligible,rejection_reasons
coarse,AAPL,5Min,8.0,1.0,9.0,False,False,False,407,8,8,0,4,2,2,50.0,0.37000000000000455,-1.0300000000000296,0.3592233009708679,-0.660000000000025,1.2250000000003638,0.01224957126500936,-1.7951941747576718,False,profit_factor<1.0
coarse,AAPL,5Min,8.0,0.75,9.0,False,False,False,407,82,82,0,41,22,18,53.65853658536586,7.335000000000008,-3.4300000000000637,2.1384839650145397,3.9049999999999443,2.274999999999636,0.022744370768231225,2.164620991253943,True,
